age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
44;blue-collar;divorced;primary;no;25;yes;no;cellular;13;may;201;1;344;7;failure;no
43;admin.;married;secondary;no;25741;yes;no;unknown;30;may;464;2;-1;0;unknown;no
35;technician;married;secondary;no;7504;no;yes;unknown;19;jul;362;3;87;1;unknown;yes
46;self-employed;divorced;tertiary;no;3202;no;no;telephone;7;aug;51;10;74;-2;unknown;no
28;blue-collar;single;unknown;no;-1154;no;no;unknown;18;may;337;-1;42;0;unknown;no
31;management;married;tertiary;no;3378;yes;yes;cellular;20;aug;398;-2;47;0;unknown;yes
41;management;married;tertiary;no;8902;yes;no;cellular;20;apr;16;3;249;5;failure;no
48;unknown;divorced;secondary;no;4092;no;no;unknown;19;may;264;-1;33;1;unknown;no
44;entrepreneur;single;tertiary;no;1460;no;no;cellular;14;oct;-105;3;89;3;unknown;yes
61;services;single;tertiary;no;5461;no;yes;cellular;-5;nov;145;0;-53;1;unknown;yes
50;retired;married;secondary;no;2881;yes;no;unknown;11;jun;162;6;-96;-2;unknown;yes
27;technician;married;tertiary;no;603;no;no;unknown;10;oct;374;0;70;0;unknown;no
26;management;single;secondary;no;-4269;yes;no;unknown;20;jul;649;1;80;1;unknown;yes
64;technician;married;tertiary;no;-40;yes;no;unknown;20;jun;540;0;-50;-3;unknown;no
59;blue-collar;married;tertiary;no;2182;no;no;cellular;2;oct;578;7;-30;4;unknown;yes
51;technician;single;tertiary;no;1599;yes;no;unknown;20;dec;583;2;35;3;failure;no
31;technician;single;secondary;no;1186;yes;no;cellular;19;nov;174;1;180;1;failure;no
48;technician;married;secondary;no;-744;yes;yes;unknown;20;jul;136;4;116;-1;failure;yes
44;blue-collar;married;secondary;no;2979;yes;no;cellular;18;may;18;5;178;3;other;no
50;technician;married;secondary;no;-353;yes;yes;cellular;18;nov;162;1;175;2;failure;no
46;blue-collar;married;secondary;no;5202;no;no;cellular;6;jun;575;-1;54;2;unknown;yes
44;entrepreneur;married;tertiary;no;4026;yes;no;cellular;17;jan;265;2;-12;-2;unknown;no
26;entrepreneur;married;tertiary;no;4128;yes;no;cellular;7;jun;471;3;121;3;unknown;yes
47;unemployed;married;secondary;no;-287;yes;no;unknown;34;may;40;7;14;1;unknown;yes
35;retired;divorced;primary;no;-1562;yes;no;cellular;28;jul;296;0;-164;0;unknown;yes
33;blue-collar;married;secondary;no;4153;yes;no;cellular;28;aug;309;7;105;-3;unknown;no
32;admin.;single;tertiary;no;2004;no;no;cellular;2;feb;141;1;75;1;failure;no
49;student;married;secondary;no;3945;yes;yes;unknown;28;aug;619;0;25;1;failure;no
60;retired;married;secondary;no;374;no;no;cellular;19;aug;276;2;-1;0;unknown;no
7;management;married;tertiary;no;424;no;yes;cellular;9;jul;328;3;-81;0;failure;yes
51;blue-collar;divorced;primary;no;5298;yes;no;unknown;19;aug;99;5;155;0;unknown;no
48;technician;married;tertiary;no;2246;no;no;unknown;22;may;117;0;-60;0;unknown;yes
40;blue-collar;married;secondary;no;-1562;no;no;cellular;23;may;543;3;-92;1;unknown;no
35;unknown;married;secondary;no;2946;yes;no;unknown;25;jun;219;-3;-40;0;unknown;yes
45;services;divorced;secondary;no;88;no;yes;cellular;7;jul;332;1;-1;0;unknown;no
31;entrepreneur;married;tertiary;no;5191;no;no;cellular;20;nov;187;2;-1;0;unknown;no
37;technician;married;tertiary;no;-1114;yes;yes;unknown;10;jul;471;4;140;1;unknown;no
49;entrepreneur;married;tertiary;no;922;yes;no;cellular;27;may;207;2;-32;2;unknown;no
34;management;single;secondary;no;1548;yes;no;unknown;25;may;29;0;32;-2;unknown;yes
18;unknown;single;unknown;no;-2827;no;yes;unknown;14;jul;151;-3;-46;1;unknown;no
45;technician;single;tertiary;no;3061;no;no;unknown;25;dec;274;2;-87;6;unknown;no
38;entrepreneur;married;tertiary;no;4080;no;no;unknown;8;feb;379;3;65;0;unknown;yes
35;blue-collar;single;tertiary;no;560;no;no;unknown;5;may;30;2;207;4;unknown;no
44;technician;single;unknown;no;-1730;no;no;unknown;13;nov;432;3;107;-1;unknown;no
58;unemployed;married;secondary;no;0;no;no;unknown;3;jul;84;1;-1;0;unknown;no
82;housemaid;divorced;primary;no;1381;no;no;cellular;28;jan;86;3;93;1;failure;no
14;blue-collar;married;unknown;no;3143;yes;yes;unknown;13;dec;280;5;-26;1;unknown;yes
24;blue-collar;married;secondary;no;-2425;no;no;unknown;27;may;154;2;156;0;unknown;no
40;technician;single;unknown;no;3213;no;no;cellular;12;dec;786;1;114;-1;unknown;no
54;blue-collar;single;tertiary;no;4017;no;no;cellular;8;jul;31;4;-56;1;unknown;yes
41;technician;divorced;tertiary;no;10702;no;no;unknown;19;dec;255;5;-100;0;unknown;yes
25;unemployed;married;secondary;no;1404;yes;no;cellular;2;nov;85;2;-1;0;unknown;no
55;management;married;tertiary;no;-2337;no;no;cellular;34;nov;784;5;90;-1;other;no
44;technician;married;tertiary;no;2171;yes;no;cellular;9;jun;324;9;-12;-3;unknown;no
41;entrepreneur;married;tertiary;no;-1403;yes;no;unknown;23;may;167;8;23;4;failure;no
32;blue-collar;single;tertiary;no;2496;no;no;cellular;23;oct;375;-3;-5;-1;unknown;no
33;management;married;unknown;no;-1635;yes;no;unknown;14;apr;575;7;-99;2;unknown;yes
48;technician;married;tertiary;no;1061;yes;no;telephone;31;may;-212;1;33;-1;unknown;yes
45;technician;single;secondary;no;594;no;no;cellular;10;may;432;-2;23;2;unknown;no
30;management;single;tertiary;no;635;yes;no;unknown;4;jun;29;2;-1;0;unknown;no
50;technician;married;tertiary;no;2900;yes;no;cellular;9;jul;501;1;-64;1;unknown;yes
25;services;single;secondary;no;229;yes;no;unknown;2;jun;214;2;-1;0;unknown;no
43;blue-collar;married;secondary;no;545;yes;no;cellular;21;nov;144;1;-1;0;unknown;no
24;entrepreneur;married;primary;no;-2356;no;no;unknown;9;jun;268;2;50;0;unknown;yes
47;technician;divorced;tertiary;no;806;no;no;cellular;20;jul;473;3;-84;0;unknown;yes
58;management;married;tertiary;no;-3279;yes;no;cellular;9;jul;247;-2;-174;-1;unknown;no
39;blue-collar;married;primary;no;1373;yes;no;telephone;28;jul;81;5;-1;0;unknown;no
27;management;single;tertiary;no;321;yes;no;cellular;13;may;173;2;307;1;other;no
59;services;married;unknown;no;228;yes;no;cellular;11;oct;138;2;-48;3;unknown;yes
36;self-employed;married;tertiary;no;16430;yes;no;unknown;6;jun;197;3;-1;0;unknown;no
45;retired;single;tertiary;no;3596;no;no;unknown;19;jan;-123;0;156;1;unknown;yes
29;housemaid;single;tertiary;no;5;yes;no;cellular;23;dec;443;0;124;0;unknown;yes
30;entrepreneur;married;tertiary;no;4847;no;no;unknown;18;may;146;7;37;1;failure;yes
42;blue-collar;married;primary;no;6878;yes;no;unknown;18;apr;537;2;66;-1;unknown;no
50;blue-collar;divorced;secondary;no;204;yes;yes;unknown;14;may;421;1;-1;0;unknown;no
50;technician;married;tertiary;no;92;no;yes;cellular;7;jul;192;1;-1;0;unknown;no
34;technician;single;tertiary;yes;6448;yes;no;cellular;26;jun;109;5;-62;-2;unknown;no
30;entrepreneur;married;tertiary;no;4724;no;no;unknown;28;jul;880;5;33;0;unknown;no
35;unknown;married;tertiary;no;1086;yes;no;cellular;14;sep;-247;0;94;0;unknown;no
39;services;single;tertiary;no;937;yes;no;unknown;25;jun;258;5;140;3;unknown;yes
43;retired;married;secondary;no;8503;no;yes;unknown;20;oct;252;3;-19;0;unknown;yes
60;retired;single;secondary;no;2993;yes;yes;unknown;22;jun;75;4;111;4;unknown;no
68;retired;married;unknown;no;3701;no;no;telephone;8;jun;149;1;-1;0;unknown;no
30;management;married;primary;no;5709;no;no;unknown;28;oct;547;5;34;0;unknown;no
33;entrepreneur;married;secondary;no;4061;yes;yes;cellular;3;oct;-15;0;123;1;unknown;no
50;entrepreneur;single;tertiary;no;4286;yes;no;unknown;14;nov;483;3;-220;0;failure;no
45;technician;single;tertiary;no;-126;yes;no;unknown;5;jul;365;0;60;-3;unknown;yes
33;entrepreneur;single;secondary;no;-320;no;yes;unknown;20;may;358;0;-37;2;unknown;no
43;admin.;married;primary;no;314;yes;yes;unknown;26;may;134;1;-1;0;unknown;no
37;housemaid;married;primary;no;309;no;no;cellular;27;aug;11;15;-1;0;unknown;no
29;housemaid;married;tertiary;no;8259;no;no;cellular;2;aug;112;-3;15;1;unknown;yes
33;management;married;tertiary;no;3850;yes;no;unknown;15;jul;201;1;-97;-1;unknown;no
56;technician;divorced;tertiary;no;4372;no;yes;cellular;10;mar;389;7;-72;6;failure;no
38;technician;married;secondary;no;958;yes;no;telephone;18;nov;33;4;-1;0;unknown;no
33;services;single;secondary;no;310;yes;no;cellular;12;may;54;2;371;1;failure;no
28;admin.;single;secondary;no;-126;no;yes;cellular;8;jul;360;4;-1;0;unknown;no
34;management;single;tertiary;no;808;no;no;cellular;26;may;376;2;97;1;other;no
28;blue-collar;divorced;secondary;no;5160;no;no;unknown;16;dec;144;2;69;0;unknown;yes
36;entrepreneur;married;tertiary;no;6679;yes;no;telephone;7;jul;249;-1;52;0;unknown;no
35;management;married;tertiary;no;552;yes;yes;cellular;19;nov;314;2;124;1;failure;no
37;management;married;secondary;no;5729;no;no;unknown;10;aug;385;8;82;0;unknown;yes
25;blue-collar;married;secondary;no;267;no;no;cellular;7;jul;422;2;-1;0;unknown;no
26;blue-collar;married;secondary;no;622;yes;no;cellular;21;jul;471;2;-1;0;unknown;no
24;management;single;tertiary;no;-1320;no;no;unknown;21;dec;169;3;142;0;unknown;yes
44;retired;divorced;unknown;no;6977;no;no;cellular;15;jul;320;7;16;1;unknown;yes
37;entrepreneur;married;tertiary;no;-1529;yes;no;cellular;19;may;376;-3;116;1;unknown;yes
35;management;married;tertiary;no;0;no;no;cellular;11;jul;89;1;-1;0;unknown;no
53;management;married;primary;no;874;yes;no;cellular;11;oct;63;3;75;0;unknown;yes
25;admin.;married;tertiary;no;906;no;no;cellular;26;may;253;1;-1;0;unknown;yes
43;blue-collar;married;secondary;no;2754;no;no;unknown;25;aug;634;1;76;0;unknown;yes
47;unknown;married;tertiary;no;3653;yes;yes;unknown;14;aug;342;0;152;1;unknown;yes
37;management;divorced;secondary;no;1849;no;no;unknown;27;aug;306;1;-8;1;failure;yes
16;unemployed;single;secondary;no;-1126;no;no;cellular;11;jun;158;-6;104;1;failure;yes
54;blue-collar;single;primary;no;-3423;no;no;unknown;12;aug;501;1;-22;2;success;yes
52;technician;married;unknown;no;1610;no;yes;unknown;22;oct;-110;1;-23;2;unknown;yes
49;retired;married;primary;no;2665;yes;no;unknown;13;may;67;1;-1;0;unknown;no
40;entrepreneur;married;tertiary;no;10056;yes;no;unknown;12;oct;266;5;-51;-1;unknown;no
50;technician;married;secondary;no;2497;yes;no;cellular;21;nov;35;1;176;1;failure;no
48;admin.;married;secondary;no;315;yes;no;cellular;12;may;165;1;-1;0;unknown;no
45;management;married;tertiary;no;1602;yes;no;unknown;15;may;553;0;36;0;unknown;yes
61;blue-collar;married;secondary;no;272;no;no;cellular;29;oct;318;1;269;1;failure;no
38;blue-collar;single;secondary;no;0;no;no;cellular;13;aug;255;2;105;1;failure;no
50;unknown;single;tertiary;no;1424;yes;no;cellular;5;may;102;0;54;-4;unknown;yes
36;admin.;married;secondary;no;75;yes;no;unknown;4;jul;52;4;-1;0;unknown;no
30;technician;married;tertiary;no;1277;no;no;unknown;4;jun;210;3;81;0;unknown;no
39;management;single;tertiary;no;247;yes;no;unknown;12;may;343;-4;133;0;unknown;yes
21;admin.;married;tertiary;no;-1970;yes;no;unknown;17;jul;575;5;2;0;success;no
35;entrepreneur;single;tertiary;no;2553;no;yes;unknown;20;may;161;1;52;0;unknown;no
56;entrepreneur;married;unknown;no;5842;yes;no;cellular;28;aug;127;2;9;-1;unknown;yes
35;blue-collar;married;tertiary;no;366;yes;no;cellular;16;jun;-128;1;143;3;failure;no
29;unknown;married;tertiary;no;3298;yes;yes;telephone;21;nov;105;5;28;0;unknown;yes
45;unknown;married;tertiary;no;1090;yes;yes;cellular;24;jul;126;-4;56;-4;unknown;no
47;technician;married;unknown;no;-3171;yes;no;cellular;11;nov;132;-1;208;1;unknown;yes
37;services;divorced;unknown;no;4048;no;no;unknown;20;may;-477;4;-17;1;unknown;no
39;blue-collar;married;tertiary;no;1324;yes;no;unknown;20;dec;216;4;217;-1;unknown;no
38;management;single;secondary;yes;4421;no;no;cellular;-4;jul;602;3;90;-2;unknown;no
39;services;divorced;tertiary;no;1191;no;no;cellular;15;jan;-91;6;237;0;unknown;no
36;unemployed;married;secondary;no;-2379;no;no;unknown;15;aug;-57;0;47;-1;unknown;no
55;management;married;secondary;no;2892;yes;no;unknown;12;may;470;6;17;0;success;yes
52;management;married;tertiary;no;7192;no;no;cellular;4;aug;1486;1;-1;0;unknown;yes
40;entrepreneur;single;secondary;no;4076;yes;no;unknown;23;oct;644;2;6;0;unknown;no
53;unknown;single;tertiary;no;5226;yes;yes;unknown;26;jul;453;0;164;0;unknown;yes
25;blue-collar;married;tertiary;no;594;yes;no;cellular;2;oct;212;2;55;-1;unknown;yes
25;blue-collar;divorced;secondary;no;4479;yes;no;unknown;16;oct;285;0;-30;-1;unknown;yes
51;technician;married;unknown;no;-1832;yes;yes;cellular;11;jan;-61;1;71;-1;failure;yes
45;technician;married;unknown;no;557;yes;no;cellular;15;jul;80;4;-1;0;unknown;no
58;management;single;tertiary;no;-1456;yes;no;unknown;15;jun;425;5;91;2;unknown;yes
52;entrepreneur;married;tertiary;no;3480;yes;no;cellular;19;oct;260;5;14;-1;unknown;yes
42;services;single;secondary;yes;58;no;no;cellular;3;feb;428;1;-1;0;unknown;no
35;management;married;tertiary;no;1193;yes;no;unknown;2;jun;101;2;-1;0;unknown;no
31;blue-collar;married;tertiary;no;-339;no;no;unknown;22;may;124;5;-30;2;unknown;no
25;management;married;tertiary;no;4048;no;no;unknown;10;jun;567;0;-199;1;unknown;no
30;admin.;single;secondary;no;1223;yes;no;cellular;30;jul;112;5;-1;0;unknown;no
45;entrepreneur;married;secondary;no;1388;no;no;cellular;25;dec;409;8;-57;0;unknown;yes
38;entrepreneur;single;unknown;no;-2482;no;yes;unknown;22;may;-54;3;50;2;unknown;yes
29;self-employed;single;tertiary;no;3313;yes;no;cellular;2;may;1;3;40;-1;unknown;no
52;services;married;secondary;no;2070;no;no;telephone;1;apr;74;3;-1;0;unknown;no
39;technician;single;secondary;no;1435;no;no;cellular;17;jun;383;1;296;19;other;yes
39;management;divorced;tertiary;no;373;no;no;cellular;26;aug;148;4;-1;0;unknown;no
43;admin.;divorced;secondary;no;1010;yes;no;unknown;-5;nov;154;0;-56;4;unknown;yes
37;entrepreneur;married;secondary;no;1049;yes;no;unknown;16;aug;338;4;71;0;unknown;no
43;housemaid;married;primary;no;4102;no;no;cellular;17;oct;594;0;-159;0;unknown;yes
46;management;married;tertiary;no;4434;yes;yes;unknown;12;jun;135;2;-66;1;unknown;yes
40;technician;married;tertiary;no;1063;yes;yes;cellular;19;aug;264;2;-1;0;unknown;no
35;admin.;married;secondary;no;404;yes;no;unknown;29;may;539;1;-1;0;unknown;yes
51;entrepreneur;married;tertiary;no;5005;no;no;unknown;5;dec;293;6;35;0;failure;yes
57;management;divorced;tertiary;no;-2783;yes;no;unknown;13;jun;55;1;17;3;other;yes
48;technician;married;unknown;no;3692;no;no;cellular;9;oct;-56;0;-77;0;unknown;no
51;admin.;married;unknown;no;228;yes;no;unknown;21;may;11;0;152;3;unknown;yes
44;unknown;married;tertiary;no;113;yes;no;unknown;19;may;-86;5;-63;2;unknown;no
44;blue-collar;married;secondary;no;6491;yes;no;cellular;19;nov;126;2;174;1;failure;no
31;unknown;single;secondary;no;-904;no;no;unknown;-2;may;-7;4;32;2;unknown;yes
25;management;married;tertiary;no;-3541;no;no;unknown;12;aug;551;2;40;5;unknown;no
46;retired;married;tertiary;no;-5960;no;yes;unknown;10;jul;561;3;-91;-2;unknown;no
23;services;divorced;secondary;no;3373;no;no;telephone;20;may;-321;2;91;2;unknown;no
31;technician;single;tertiary;no;-2040;yes;no;cellular;18;nov;793;3;55;-3;unknown;yes
16;housemaid;married;tertiary;no;-309;yes;no;unknown;14;dec;522;4;57;3;unknown;yes
47;entrepreneur;single;tertiary;no;77;yes;yes;cellular;7;may;308;1;335;3;failure;no
42;management;married;primary;no;3108;yes;yes;cellular;10;jul;538;6;79;3;unknown;yes
30;technician;single;secondary;no;500;yes;no;cellular;8;nov;176;1;543;3;failure;no
33;admin.;married;primary;no;-1242;no;no;unknown;24;dec;320;4;33;2;unknown;no
46;blue-collar;single;tertiary;no;-218;yes;no;unknown;17;jul;336;5;36;0;other;yes
51;housemaid;married;secondary;no;294;no;no;cellular;20;nov;640;1;-1;0;unknown;no
42;management;married;tertiary;no;-4292;no;no;unknown;23;may;419;1;14;0;unknown;no
53;retired;married;secondary;no;1328;no;no;unknown;-9;may;536;-5;14;0;unknown;yes
48;unknown;single;secondary;no;941;no;no;cellular;20;feb;513;3;150;0;failure;no
23;entrepreneur;married;unknown;no;479;no;no;unknown;28;dec;-193;11;-3;-1;unknown;no
37;blue-collar;single;tertiary;no;5218;yes;no;unknown;10;jun;-111;8;44;2;unknown;no
34;unknown;married;secondary;no;421;yes;no;unknown;28;may;436;0;117;2;unknown;yes
36;services;divorced;secondary;no;1594;no;no;unknown;6;jun;250;3;-1;0;unknown;no
38;technician;single;tertiary;no;1233;yes;yes;unknown;33;jun;318;0;-50;-3;failure;no
31;entrepreneur;divorced;secondary;no;358;yes;no;unknown;7;apr;-43;1;-61;0;unknown;no
32;unemployed;married;tertiary;no;1340;no;no;cellular;13;jun;338;3;22;1;unknown;yes
47;entrepreneur;single;primary;no;3619;yes;no;unknown;20;dec;103;6;23;0;unknown;no
28;self-employed;married;secondary;no;8914;no;no;cellular;34;jan;11;2;42;3;unknown;no
27;management;single;tertiary;no;0;yes;no;cellular;5;feb;196;1;-1;0;unknown;no
51;admin.;divorced;tertiary;no;1270;yes;no;unknown;9;nov;157;5;82;0;unknown;no
61;retired;married;secondary;no;123;no;no;cellular;7;jul;112;2;-1;0;unknown;no
52;blue-collar;married;secondary;no;6933;no;no;cellular;19;nov;273;2;-1;0;unknown;no
34;management;married;tertiary;no;8000;no;no;cellular;28;may;110;2;-1;0;unknown;no
40;management;single;secondary;no;2802;yes;no;cellular;15;aug;281;4;135;0;unknown;no
55;technician;married;tertiary;no;1300;yes;no;unknown;19;jul;494;2;-39;2;unknown;yes
61;self-employed;divorced;tertiary;no;52587;no;no;cellular;15;feb;394;3;189;1;success;yes
52;technician;divorced;secondary;no;6366;no;yes;unknown;19;jul;207;3;-108;0;unknown;yes
35;technician;married;secondary;no;-2652;yes;no;unknown;12;jul;238;0;-50;5;unknown;no
36;technician;married;primary;no;-494;yes;no;cellular;5;may;308;7;45;0;unknown;yes
42;retired;married;secondary;no;-3779;no;no;unknown;21;sep;421;1;68;1;failure;yes
41;blue-collar;divorced;secondary;no;174;yes;no;cellular;14;may;367;2;297;1;other;no
31;technician;married;secondary;no;141;no;no;cellular;20;aug;110;2;-1;0;unknown;no
42;blue-collar;single;secondary;no;436;yes;no;cellular;8;jun;65;2;-47;3;unknown;no
58;technician;single;secondary;no;-2988;yes;no;unknown;19;may;-84;1;-66;-3;unknown;yes
33;management;married;tertiary;no;-2565;no;no;unknown;11;jul;437;0;53;-1;unknown;yes
42;services;divorced;secondary;no;266;yes;yes;cellular;19;nov;97;1;-1;0;unknown;no
57;unemployed;married;tertiary;no;-2338;yes;no;unknown;15;may;273;5;187;-2;failure;no
44;technician;single;tertiary;no;-959;yes;no;telephone;23;may;480;5;129;3;other;yes
34;blue-collar;single;secondary;no;4536;yes;no;cellular;21;nov;963;1;-1;0;unknown;yes
32;technician;single;secondary;no;535;yes;yes;unknown;27;may;156;2;-1;0;unknown;no
45;blue-collar;married;tertiary;no;-1770;yes;no;cellular;13;aug;382;8;15;0;unknown;yes
59;entrepreneur;married;secondary;no;-3186;no;no;telephone;17;jun;630;3;7;0;success;no
33;entrepreneur;married;unknown;no;6773;no;no;unknown;14;jun;21;0;-87;0;failure;yes
14;technician;married;tertiary;no;565;no;no;cellular;22;oct;-164;4;174;1;failure;no
65;entrepreneur;divorced;tertiary;no;2294;yes;no;unknown;24;dec;414;3;86;-3;unknown;yes
38;management;single;tertiary;no;1819;no;no;cellular;5;feb;101;3;-1;0;unknown;no
47;technician;married;tertiary;no;-3219;yes;no;unknown;10;oct;96;3;16;1;unknown;yes
62;management;married;unknown;no;1836;no;no;unknown;17;may;114;-1;179;1;unknown;no
37;management;married;tertiary;no;115;no;no;cellular;19;aug;78;2;-1;0;unknown;no
43;management;married;tertiary;no;7085;no;no;unknown;9;jul;244;0;-2;-1;unknown;yes
39;technician;married;tertiary;no;794;no;no;telephone;3;jun;116;2;121;1;failure;no
46;technician;single;tertiary;no;2873;yes;no;unknown;3;jul;268;3;-122;0;unknown;yes
48;management;single;tertiary;no;-295;no;yes;cellular;28;jan;121;1;190;2;failure;no
58;entrepreneur;married;tertiary;no;925;yes;no;cellular;21;nov;65;1;-1;0;unknown;no
32;technician;married;secondary;no;2802;no;no;cellular;20;aug;157;2;-1;0;unknown;no
53;blue-collar;married;secondary;no;-1721;no;no;unknown;6;jun;201;2;-72;1;unknown;no
55;management;married;tertiary;no;6750;yes;no;cellular;18;oct;367;2;200;0;failure;yes
22;retired;single;tertiary;no;-2217;no;no;telephone;5;aug;-176;5;144;1;unknown;no
15;blue-collar;married;tertiary;no;695;yes;no;telephone;17;may;79;3;131;-1;unknown;no
54;unknown;divorced;secondary;no;-1774;no;no;cellular;23;nov;-109;0;-131;0;unknown;yes
24;admin.;single;secondary;no;-507;yes;no;unknown;27;may;446;1;-1;0;unknown;no
31;technician;married;tertiary;no;3378;yes;no;unknown;26;jun;-86;7;-155;-2;failure;yes
32;management;married;tertiary;no;663;no;yes;cellular;22;jul;62;3;-1;0;unknown;no
49;management;married;secondary;no;3857;yes;no;cellular;6;nov;665;2;-101;0;unknown;no
55;unknown;married;tertiary;no;3791;yes;no;unknown;1;may;168;0;-35;-2;unknown;no
47;technician;married;tertiary;no;3676;yes;no;unknown;6;oct;296;7;62;1;unknown;no
53;technician;married;tertiary;no;-585;yes;no;unknown;23;may;509;11;250;3;unknown;yes
45;technician;married;secondary;no;4313;no;no;unknown;23;jun;219;5;-12;1;failure;yes
37;technician;married;tertiary;no;-101;yes;no;cellular;18;may;303;4;18;0;unknown;yes
41;management;married;secondary;no;718;yes;no;cellular;12;oct;494;1;16;1;unknown;yes
35;services;single;tertiary;no;-692;no;no;unknown;16;jun;379;3;83;-1;unknown;no
